"","Rank","Team","Conf","W-L","BPI","SOS","SOR","RPI"
"","1","VillanovaVILL","Big East","36-4","1","11","1","--"
"","2","VirginiaUVA","ACC","31-3","2","32","2","--"
"","3","DukeDUKE","ACC","29-8","3","8","6","--"
"","4","PurduePUR","Big Ten","30-7","4","34","8","--"
"","5","CincinnatiCIN","American","31-5","5","74","11","--"
"","6","Michigan StMSU","Big Ten","30-5","6","60","7","--"
"","7","KansasKU","Big 12","31-8","7","3","4","--"
"","8","North CarolinaUNC","ACC","26-11","8","1","9","--"
"","9","West VirginiaWVU","Big 12","26-11","9","12","14","--"
"","10","GonzagaGONZ","WCC","32-5","10","90","15","--"
"","11","Texas TechTTU","Big 12","27-10","11","7","10","--"
"","12","MichiganMICH","Big Ten","33-8","12","28","3","--"
"","13","XavierXAV","Big East","29-6","13","40","5","--"
"","14","TennesseeTENN","SEC","26-9","14","17","12","--"
"","15","Wichita StWICH","American","25-8","15","68","22","--"
"","16","ClemsonCLEM","ACC","25-10","16","14","13","--"
"","17","Ohio StateOSU","Big Ten","25-9","17","35","16","--"
"","18","HoustonHOU","American","27-8","18","67","19","--"
"","19","KentuckyUK","SEC","26-11","19","16","17","--"
"","20","Penn StatePSU","Big Ten","26-13","20","56","34","--"
"","21","ButlerBUT","Big East","21-14","21","5","31","--"
"","22","TCUTCU","Big 12","21-12","22","26","32","--"
"","23","AuburnAUB","SEC","26-8","23","65","18","--"
"","24","CreightonCREI","Big East","21-12","24","48","41","--"
"","25","FloridaFLA","SEC","21-13","25","18","36","--"
"","26","ArizonaARIZ","Pac-12","27-8","26","72","27","--"
"","27","Seton HallHALL","Big East","22-12","27","19","25","--"
"","28","Saint Mary'sSMC","WCC","30-6","28","253","58","--"
"","29","Florida StFSU","ACC","23-12","29","20","21","--"
"","30","Virginia TechVT","ACC","21-12","30","43","39","--"
"","31","NevadaNEV","MW","29-8","31","82","28","--"
"","32","Texas A&MTAMU","SEC","22-13","32","6","23","--"
"","33","DavidsonDAV","A 10","21-12","33","86","82","--"
"","34","LouisvilleLOU","ACC","22-14","34","37","46","--"
"","35","MiamiMIA","ACC","22-10","35","53","26","--"
"","36","Rhode IslandURI","A 10","26-8","36","77","30","--"
"","37","Notre DameND","ACC","21-15","37","50","56","--"
"","38","BaylorBAY","Big 12","19-15","38","21","51","--"
"","39","MarylandMD","Big Ten","19-13","39","52","54","--"
"","40","TexasTEX","Big 12","19-15","40","2","40","--"
"","41","ArkansasARK","SEC","23-12","41","36","29","--"
"","42","Middle TennesseeMTU","C-USA","25-8","42","95","47","--"
"","43","Loyola (Chi)L-IL","MVC","32-6","43","119","24","--"
"","44","OklahomaOKLA","Big 12","18-14","44","4","44","--"
"","45","SyracuseSYR","ACC","23-14","45","24","33","--"
"","46","Arizona StASU","Pac-12","20-12","46","76","71","--"
"","47","Kansas StKSU","Big 12","25-12","47","31","20","--"
"","48","Nc StateNCST","ACC","21-12","48","51","43","--"
"","49","MissouriMIZ","SEC","20-13","49","54","52","--"
"","50","MarquetteMARQ","Big East","21-14","50","29","45","--"
"","51","USCUSC","Pac-12","24-12","51","79","61","--"
"","52","Western KentuckyWKU","C-USA","27-11","52","88","59","--"
"","53","San Diego StSDSU","MW","22-11","53","93","72","--"
"","54","AlabamaALA","SEC","20-16","54","15","50","--"
"","55","LouisianaULL","Sun Belt","27-7","55","229","68","--"
"","56","UCLAUCLA","Pac-12","21-12","56","66","60","--"
"","57","Boise StateBSU","MW","23-9","57","116","67","--"
"","58","Mississippi StMSST","SEC","25-12","58","62","38","--"
"","59","Old DominionODU","C-USA","25-7","59","198","66","--"
"","60","St. BonaventureSBON","A 10","26-8","60","80","35","--"
"","61","Oklahoma StOKST","Big 12","21-15","61","30","48","--"
"","62","ProvidencePROV","Big East","21-14","62","22","42","--"
"","63","Murray StMURR","OVC","26-6","63","249","62","--"
"","64","NebraskaNEB","Big Ten","22-11","64","57","37","--"
"","65","WisconsinWIS","Big Ten","15-18","65","10","79","--"
"","66","VermontUVM","Am. East","27-8","66","165","63","--"
"","67","LSULSU","SEC","18-15","67","47","65","--"
"","68","UtahUTAH","Pac-12","23-12","68","69","55","--"
"","69","FurmanFUR","Southern","23-10","69","180","100","--"
"","70","New Mexico StNMSU","WAC","28-6","70","173","49","--"
"","71","SMUSMU","American","17-16","71","75","120","--"
